id,pass,pass_title,severity,component,location,summary,confidence,fix_commit,regression_test,status
P01-F01,01,FL algorithm implementations vs. their papers,silent-degradation,clients,fedbrew/clients/local_update_modes.py,frozen_batch_gradients with examples weighting scales the update by n_train / (n_train + n_eval),certain,,tests/test_frozen_gradient_weighting.py,fixed
P01-F02,01,FL algorithm implementations vs. their papers,silent-degradation,clients,fedbrew/clients/torch_fedprox_client.py,"FedProx and SCAFFOLD clients accept and ignore optimizer, schedule, step-cap and AMP settings",certain,,tests/test_ignored_client_options.py,fixed
P01-F03,01,FL algorithm implementations vs. their papers,fragile,core,fedbrew/core/loop.py,resuming SCAFFOLD from a checkpoint without client_states silently breaks c = (1/N) Σ c_i,certain,,tests/test_resume_is_all_or_nothing.py,fixed
P01-F04,01,FL algorithm implementations vs. their papers,fragile,servers,fedbrew/servers/scaffold.py,"SCAFFOLD (and FedOpt) average the model by example count while the papers' algorithms average uniformly; the control variate is averaged uniformly regardless, and preflight does not flag it",certain,,tests/test_aggregation_weighting_notice.py,fixed
P01-F05,01,FL algorithm implementations vs. their papers,style,servers,fedbrew/servers/scaffold.py,SCAFFOLD server rescales the control update to 1/|S| if aggregated before configure_round,certain,,tests/test_auxiliary_state_aggregation.py,fixed
P01-F06,01,FL algorithm implementations vs. their papers,style,tests,tests/test_aggregation_weighting.py,no test pins the SCAFFOLD control-variate arithmetic or the FedProx proximal gradient,certain,,,fixed
P01-F07,01,FL algorithm implementations vs. their papers,style,core,fedbrew/core/config.py,fedavgm requires beta2 and tau it never reads,certain,,tests/test_fedopt_unread_hyperparameters.py,fixed
P01-F09,01,FL algorithm implementations vs. their papers,style,clients,fedbrew/clients/torch_fedlalr_client.py,FedLALR skips the whole AMSGrad step for a parameter without a gradient,certain,,,
P02-F01,02,Server aggregation,wrong-results,clients,fedbrew/clients/fedavg_ft_client.py,FedAvg+FT evaluation: every client after the first is measured on the previous client's fine-tuned weights,certain,,tests/test_fedavg_ft.py,fixed
P02-F02,02,Server aggregation,fragile,core,fedbrew/core/torch_utils.py,"the accumulator does not know what a buffer is: float buffers would be averaged as parameters, integer buffers must be bit-identical across clients",certain,,tests/test_federated_buffers_are_refused.py,fixed
